cityName,bedrooms,month,Final_Price_Index,Final_Quantity_Index
Ahmedabad,1-BHK,2017-01-01,100.0,100.0
Ahmedabad,1-BHK,2017-02-01,100.13,122.5882096
Ahmedabad,1-BHK,2017-03-01,100.5,137.203547
Ahmedabad,1-BHK,2017-04-01,99.64,172.5720434
Ahmedabad,1-BHK,2017-05-01,99.15,136.7450527
Ahmedabad,1-BHK,2017-06-01,99.06,138.7040873
Ahmedabad,1-BHK,2017-07-01,100.57,186.3922736
Ahmedabad,1-BHK,2017-08-01,100.14,101.695032
Ahmedabad,1-BHK,2017-09-01,99.45,101.8992027
Ahmedabad,1-BHK,2017-10-01,99.74,78.83530639
Ahmedabad,1-BHK,2017-11-01,99.97,90.57846133
Ahmedabad,1-BHK,2017-12-01,98.01,76.39498994
Ahmedabad,1-BHK,2018-01-01,98.53,154.4926906
Ahmedabad,1-BHK,2018-02-01,99.47,128.5161679
Ahmedabad,1-BHK,2018-03-01,99.49,131.9581927
Ahmedabad,1-BHK,2018-04-01,99.85,119.3166011
Ahmedabad,1-BHK,2018-05-01,99.66,116.1058978
Ahmedabad,1-BHK,2018-06-01,99.8,114.8789749
Ahmedabad,1-BHK,2018-07-01,99.68,118.7871319
Ahmedabad,1-BHK,2018-08-01,100.46,130.1782937
Ahmedabad,1-BHK,2018-09-01,101.1,140.7130079
Ahmedabad,1-BHK,2018-10-01,100.96,111.9552841
Ahmedabad,1-BHK,2018-11-01,100.59,127.3114747
Ahmedabad,1-BHK,2018-12-01,100.59,148.7192945
Ahmedabad,1-BHK,2019-01-01,101.2,166.2892103
Ahmedabad,1-BHK,2019-02-01,101.64,164.7620629
Ahmedabad,1-BHK,2019-03-01,101.29,127.4020206
Ahmedabad,1-BHK,2019-04-01,101.69,185.7348921
Ahmedabad,1-BHK,2019-05-01,101.46,127.2484208
Ahmedabad,1-BHK,2019-06-01,101.82,123.7937856
Ahmedabad,1-BHK,2019-07-01,102.64,262.9293879
Ahmedabad,1-BHK,2019-08-01,105.6,129.4650367
Ahmedabad,1-BHK,2019-09-01,104.35,125.2564073
Ahmedabad,1-BHK,2019-10-01,104.25,160.2259259
Ahmedabad,1-BHK,2019-11-01,104.81,120.7359376
Ahmedabad,1-BHK,2019-12-01,105.15,128.2415366
Ahmedabad,1-BHK,2020-01-01,105.88,162.638795
Ahmedabad,1-BHK,2020-02-01,106.72,123.9270738
Ahmedabad,1-BHK,2020-03-01,106.32,106.8873027
Ahmedabad,1-BHK,2020-04-01,107.5,13.80244811
Ahmedabad,1-BHK,2020-05-01,107.6,22.16673124
Ahmedabad,1-BHK,2020-06-01,107.8,33.41941907
Ahmedabad,1-BHK,2020-07-01,108.26,66.10172004
Ahmedabad,1-BHK,2020-08-01,110.74,69.99966368
Ahmedabad,1-BHK,2020-09-01,110.62,65.02224526
Ahmedabad,1-BHK,2020-10-01,114.27,64.98901655
Ahmedabad,1-BHK,2020-11-01,113.77,52.84161484
Ahmedabad,1-BHK,2020-12-01,113.76,44.79094344
Bangalore,1-BHK,2017-01-01,100.0,100.0
Bangalore,1-BHK,2017-02-01,100.79,100.8779419
Bangalore,1-BHK,2017-03-01,100.7,93.48744085
Bangalore,1-BHK,2017-04-01,101.58,104.1572138
Bangalore,1-BHK,2017-05-01,101.58,104.0123463
Bangalore,1-BHK,2017-06-01,102.86,97.87503143
Bangalore,1-BHK,2017-07-01,104.68,93.92144339
Bangalore,1-BHK,2017-08-01,104.44,73.15746562
Bangalore,1-BHK,2017-09-01,104.1,109.1477071
Bangalore,1-BHK,2017-10-01,102.05,95.93411181
Bangalore,1-BHK,2017-11-01,103.64,99.98357327
Bangalore,1-BHK,2017-12-01,103.77,92.11625275
Bangalore,1-BHK,2018-01-01,102.4,149.4943617
Bangalore,1-BHK,2018-02-01,100.5,83.33379149
Bangalore,1-BHK,2018-03-01,102.36,119.4420029
Bangalore,1-BHK,2018-04-01,99.34,187.6937599
Bangalore,1-BHK,2018-05-01,99.13,131.6348355
Bangalore,1-BHK,2018-06-01,101.58,148.436759
Bangalore,1-BHK,2018-07-01,100.7,142.3331526
Bangalore,1-BHK,2018-08-01,102.83,166.3206635
Bangalore,1-BHK,2018-09-01,103.16,147.674952
Bangalore,1-BHK,2018-10-01,103.48,145.8358748
Bangalore,1-BHK,2018-11-01,103.54,127.3734042
Bangalore,1-BHK,2018-12-01,110.0,203.8155254
Bangalore,1-BHK,2019-01-01,109.93,176.562088
Bangalore,1-BHK,2019-02-01,112.31,168.3913094
Bangalore,1-BHK,2019-03-01,112.1,136.5671653
Bangalore,1-BHK,2019-04-01,111.74,160.0563441
Bangalore,1-BHK,2019-05-01,112.85,130.1341594
Bangalore,1-BHK,2019-06-01,112.04,153.3678931
Bangalore,1-BHK,2019-07-01,112.56,144.136406
Bangalore,1-BHK,2019-08-01,112.18,119.3872965
Bangalore,1-BHK,2019-09-01,115.3,126.2074849
Bangalore,1-BHK,2019-10-01,116.1,169.9979407
Bangalore,1-BHK,2019-11-01,115.43,123.2073667
Bangalore,1-BHK,2019-12-01,117.86,194.2918623
Bangalore,1-BHK,2020-01-01,117.98,204.4763352
Bangalore,1-BHK,2020-02-01,118.62,175.8877139
Bangalore,1-BHK,2020-03-01,119.01,127.9753507
Bangalore,1-BHK,2020-04-01,116.71,41.32933905
Bangalore,1-BHK,2020-05-01,116.78,65.21012706
Bangalore,1-BHK,2020-06-01,115.85,85.3795725
Bangalore,1-BHK,2020-07-01,113.88,93.26774091
Bangalore,1-BHK,2020-08-01,116.42,92.66925302
Bangalore,1-BHK,2020-09-01,118.77,79.96376906
Bangalore,1-BHK,2020-10-01,117.0,114.2332327
Bangalore,1-BHK,2020-11-01,116.29,152.805457
Bangalore,1-BHK,2020-12-01,115.22,93.70824587
Chennai,1-BHK,2017-01-01,100.0,100.0
Chennai,1-BHK,2017-02-01,100.02,92.92364258
Chennai,1-BHK,2017-03-01,99.03,106.9384733
Chennai,1-BHK,2017-04-01,100.64,115.4574613
Chennai,1-BHK,2017-05-01,99.66,91.70552463
Chennai,1-BHK,2017-06-01,100.01,115.1303497
Chennai,1-BHK,2017-07-01,99.57,104.3379207
Chennai,1-BHK,2017-08-01,102.76,84.56587291
Chennai,1-BHK,2017-09-01,103.25,77.23252456
Chennai,1-BHK,2017-10-01,100.85,54.01595723
Chennai,1-BHK,2017-11-01,101.82,65.23338304
Chennai,1-BHK,2017-12-01,101.13,73.13549527
Chennai,1-BHK,2018-01-01,103.49,231.7213278
Chennai,1-BHK,2018-02-01,102.21,82.93852548
Chennai,1-BHK,2018-03-01,103.17,79.50739766
Chennai,1-BHK,2018-04-01,104.13,103.5344567
Chennai,1-BHK,2018-05-01,103.56,71.43622177
Chennai,1-BHK,2018-06-01,104.8,164.0492593
Chennai,1-BHK,2018-07-01,106.82,102.6889179
Chennai,1-BHK,2018-08-01,106.64,79.65260937
Chennai,1-BHK,2018-09-01,106.21,81.01805178
Chennai,1-BHK,2018-10-01,106.74,106.0624887
Chennai,1-BHK,2018-11-01,106.7,86.14139284
Chennai,1-BHK,2018-12-01,106.75,72.52396134
Chennai,1-BHK,2019-01-01,104.0,102.8500969
Chennai,1-BHK,2019-02-01,105.38,84.73653186
Chennai,1-BHK,2019-03-01,105.22,106.2519814
Chennai,1-BHK,2019-04-01,103.16,143.8804397
Chennai,1-BHK,2019-05-01,105.18,118.7707441
Chennai,1-BHK,2019-06-01,103.24,100.0618649
Chennai,1-BHK,2019-07-01,105.0,140.0743208
Chennai,1-BHK,2019-08-01,104.61,87.9325951
Chennai,1-BHK,2019-09-01,107.49,112.85751
Chennai,1-BHK,2019-10-01,107.12,79.26862534
Chennai,1-BHK,2019-11-01,107.73,123.7241118
Chennai,1-BHK,2019-12-01,108.62,100.3579878
Chennai,1-BHK,2020-01-01,107.61,104.8019671
Chennai,1-BHK,2020-02-01,107.19,99.79570357
Chennai,1-BHK,2020-03-01,107.3,67.17444925
Chennai,1-BHK,2020-04-01,107.14,28.16652734
Chennai,1-BHK,2020-05-01,106.23,24.53567555
Chennai,1-BHK,2020-06-01,107.19,32.24646558
Chennai,1-BHK,2020-07-01,106.85,51.65746597
Chennai,1-BHK,2020-08-01,106.05,41.2341289
Chennai,1-BHK,2020-09-01,110.05,52.52664393
Chennai,1-BHK,2020-10-01,107.75,64.96896313
Chennai,1-BHK,2020-11-01,109.72,57.28153401
Chennai,1-BHK,2020-12-01,109.29,58.23263236
Hyderabad,1-BHK,2017-01-01,100.0,100.0
Hyderabad,1-BHK,2017-02-01,100.2,6837.267899
